"","Date","Day","Action","Perpetrator","Political_target","Target","Event","Country","Location","Issue","Link date","Time","N_Protesters","Arrests","N_ProtestersInjured","Deaths","Prop. Damage","N_StateForces","N_StateInjured","State killed","OSD","Source","Story date","No event found","fecha","District"
"813",1982-01-08,"Fri","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","21/01/1982",NA,"08/01/1982","TBD"
"814",1982-01-09,"Sat","strike","bakers","firm","Ranks","strike for higher pay","Ireland","Dublin","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","12/01/1982",NA,"09/01/1982","TBD"
"815",1982-01-09,"Sat","strike","dock workers","firm",NA,"refuse to unload coal for bonus payments","Ireland","Dublin","bonus payments",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Times","14/01/1982",NA,"09/01/1982","TBD"
"816",1982-01-09,"Sat","strike","clerical workers","firm","Quinnsworth","strike for higher pay","Ireland","Dun Laoghaire","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","16/01/1982",NA,"09/01/1982","TBD"
"817",1982-01-09,"Sat","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","21/01/1982",NA,"09/01/1982","TBD"
"818",1982-01-10,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","10/01/1982","TBD"
"819",1982-01-11,"Mon","strike","bakers","firm","Ranks","strike for higher pay","Ireland","Dublin","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","12/01/1982",NA,"11/01/1982","TBD"
"820",1982-01-11,"Mon","strike","dock workers","firm",NA,"refuse to unload coal for bonus payments","Ireland","Dublin","bonus payments",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Times","14/01/1982",NA,"11/01/1982","TBD"
"821",1982-01-11,"Mon","strike","clerical workers","firm","Quinnsworth","strike for higher pay","Ireland","Dun Laoghaire","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","16/01/1982",NA,"11/01/1982","TBD"
"822",1982-01-11,"Mon","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","21/01/1982",NA,"11/01/1982","TBD"
"823",1982-01-12,"Tue","strike","bakers","firm","Ranks","strike for higher pay","Ireland","Dublin","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","12/01/1982",NA,"12/01/1982","TBD"
"824",1982-01-12,"Tue","strike","dock workers","firm",NA,"refuse to unload coal for bonus payments","Ireland","Dublin","bonus payments",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Times","14/01/1982",NA,"12/01/1982","TBD"
"825",1982-01-12,"Tue","strike","clerical workers","firm","Quinnsworth","strike for higher pay","Ireland","Dun Laoghaire","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","16/01/1982",NA,"12/01/1982","TBD"
"826",1982-01-12,"Tue","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","21/01/1982",NA,"12/01/1982","TBD"
"827",1982-01-13,"Wed","strike","dock workers","firm",NA,"refuse to unload coal for bonus payments","Ireland","Dublin","bonus payments",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Times","14/01/1982",NA,"13/01/1982","TBD"
"828",1982-01-13,"Wed","strike","clerical workers","firm","Quinnsworth","strike for higher pay","Ireland","Dun Laoghaire","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","16/01/1982",NA,"13/01/1982","TBD"
"829",1982-01-13,"Wed","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","21/01/1982",NA,"13/01/1982","TBD"
"830",1982-01-14,"Thu","strike","dock workers","firm",NA,"refuse to unload coal for bonus payments","Ireland","Dublin","bonus payments",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Times","14/01/1982",NA,"14/01/1982","TBD"
"831",1982-01-14,"Thu","strike","clerical workers","firm","Quinnsworth","strike for higher pay","Ireland","Dun Laoghaire","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","16/01/1982",NA,"14/01/1982","TBD"
"832",1982-01-14,"Thu","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","21/01/1982",NA,"14/01/1982","TBD"
"833",1982-01-15,"Fri","strike","clerical workers","firm","Quinnsworth","strike for higher pay","Ireland","Dun Laoghaire","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","16/01/1982",NA,"15/01/1982","TBD"
"834",1982-01-15,"Fri","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","21/01/1982",NA,"15/01/1982","TBD"
"835",1982-01-16,"Sat","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","21/01/1982",NA,"16/01/1982","TBD"
"836",1982-01-17,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","17/01/1982","TBD"
"837",1982-01-18,"Mon","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","21/01/1982",NA,"18/01/1982","TBD"
"838",1982-01-19,"Tue","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","21/01/1982",NA,"19/01/1982","TBD"
"839",1982-01-20,"Wed","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","21/01/1982",NA,"20/01/1982","TBD"
"840",1982-01-21,"Thu","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","21/01/1982",NA,"21/01/1982","TBD"
"841",1982-01-22,"Fri","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","23/01/1982",NA,"22/01/1982","TBD"
"842",1982-01-23,"Sat","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","23/01/1982",NA,"23/01/1982","TBD"
"843",1982-01-24,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","24/01/1982","TBD"
"844",1982-01-25,"Mon","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","25/01/1982",NA,"25/01/1982","TBD"
"845",1982-01-26,"Tue","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","06/02/1982",NA,"26/01/1982","TBD"
"846",1982-01-27,"Wed","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","06/02/1982",NA,"27/01/1982","TBD"
"847",1982-01-28,"Thu","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","06/02/1982",NA,"28/01/1982","TBD"
"848",1982-01-29,"Fri","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","06/02/1982",NA,"29/01/1982","TBD"
"849",1982-01-30,"Sat","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","06/02/1982",NA,"30/01/1982","TBD"
"850",1982-01-31,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","31/01/1982","TBD"
"851",1982-02-01,"Mon","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","06/02/1982",NA,"01/02/1982","TBD"
"852",1982-02-02,"Tue","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","06/02/1982",NA,"02/02/1982","TBD"
"853",1982-02-03,"Wed","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","06/02/1982",NA,"03/02/1982","TBD"
"854",1982-02-04,"Thu","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","06/02/1982",NA,"04/02/1982","TBD"
"855",1982-02-05,"Fri","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","06/02/1982",NA,"05/02/1982","TBD"
"856",1982-02-06,"Sat","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","06/02/1982",NA,"06/02/1982","TBD"
"857",1982-02-07,"Sun","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","09/02/1982",NA,"07/02/1982","TBD"
"858",1982-02-08,"Mon","strike","zinc miners","firm","Tara","strike for higher pay","Ireland","Navan","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Financial Times","09/02/1982",NA,"08/02/1982","TBD"
"859",1982-02-08,"Mon","strike","film editors","firm","RTE","strike for higher pay","Ireland","Dublin","wages",NA,NA,101,0,0,0,"N",0,0,0,678827,"Irish Independent","09/02/1982",NA,"08/02/1982","TBD"
"860",1982-02-09,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","09/02/1982","TBD"
"861",1982-02-10,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","10/02/1982","TBD"
"862",1982-02-11,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","11/02/1982","TBD"
"863",1982-02-12,"Fri","demonstration","clothing workers","government",NA,"march against higher tax on clothing","Ireland","Dublin","taxes",NA,NA,1000,0,0,0,"N",0,0,0,678827,"Irish Independent","13/02/1982",NA,"12/02/1982","TBD"
"864",1982-02-13,"Sat","demonstration","meat workers","firm","Clover Meats","fired workers demand compensation","Ireland","Waterford","unemployment compensation",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","16/02/1982",NA,"13/02/1982","TBD"
"865",1982-02-14,"Sun","demonstration","meat workers","firm","Clover Meats","fired workers demand compensation","Ireland","Waterford","unemployment compensation",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","16/02/1982",NA,"14/02/1982","TBD"
"866",1982-02-15,"Mon","demonstration","meat workers","firm","Clover Meats","fired workers demand compensation","Ireland","Waterford","unemployment compensation",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","16/02/1982",NA,"15/02/1982","TBD"
"867",1982-02-16,"Tue","obstruction","meat workers","firm","Clover Meats","block Redmond bridge","Ireland","Waterford","unemployment compensation",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","16/02/1982",NA,"16/02/1982","TBD"
"868",1982-02-17,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","17/02/1982","TBD"
"869",1982-02-18,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","18/02/1982","TBD"
"870",1982-02-19,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","19/02/1982","TBD"
"871",1982-02-20,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","20/02/1982","TBD"
"872",1982-02-21,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","21/02/1982","TBD"
"873",1982-02-22,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","22/02/1982","TBD"
"874",1982-02-23,"Tue","bomb-nd","PIRA","UK","ship","gunmen board UK coast ship & sink it","Ireland","Moville","Irish unity",NA,NA,12,0,0,0,"Y",0,0,0,7424,"Reuters","23/02/1982",NA,"23/02/1982","TBD"
"875",1982-02-24,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","24/02/1982","TBD"
"876",1982-02-25,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","25/02/1982","TBD"
"877",1982-02-26,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","26/02/1982","TBD"
"878",1982-02-27,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","27/02/1982","TBD"
"879",1982-02-28,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","28/02/1982","TBD"
"880",1982-03-01,"Mon","demonstration","meat workers","firm","Clover Meats","laid-off workers picket Bank of Ireland","Ireland","Dublin","unemployment compensation",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Times","02/03/1982",NA,"01/03/1982","TBD"
"881",1982-03-01,"Mon","strike","textile workers","firm","Burlington Industries","protest firing of worker for failure to meet quotas","Ireland","Gilogue","worker rights",NA,NA,1001,0,0,0,"N",0,0,0,678827,"Irish Times","04/03/1982",NA,"01/03/1982","TBD"
"882",1982-03-02,"Tue","strike","textile workers","firm","Burlington Industries","protest firing of worker for failure to meet quotas","Ireland","Gilogue","worker rights",NA,NA,1001,0,0,0,"N",0,0,0,678827,"Irish Times","04/03/1982",NA,"02/03/1982","TBD"
"883",1982-03-02,"Tue","occupation","journalists","firm","RTE","stay in 'mandatory meeting'; reject productivity guidelines","Ireland","Dublin","worker rights",NA,NA,14,0,0,0,"N",0,0,0,678827,"Irish Independent","05/03/1982",NA,"02/03/1982","TBD"
"884",1982-03-03,"Wed","strike","textile workers","firm","Burlington Industries","protest firing of worker for failure to meet quotas","Ireland","Gilogue","worker rights",NA,NA,1001,0,0,0,"N",0,0,0,678827,"Irish Times","04/03/1982",NA,"03/03/1982","TBD"
"885",1982-03-03,"Wed","occupation","journalists","firm","RTE","stay in 'mandatory meeting'; reject productivity guidelines","Ireland","Dublin","worker rights",NA,NA,14,0,0,0,"N",0,0,0,678827,"Irish Independent","05/03/1982",NA,"03/03/1982","TBD"
"886",1982-03-04,"Thu","occupation","journalists","firm","RTE","stay in 'mandatory meeting'; reject productivity guidelines","Ireland","Dublin","worker rights",NA,NA,14,0,0,0,"N",0,0,0,678827,"Irish Independent","05/03/1982",NA,"04/03/1982","TBD"
"887",1982-03-05,"Fri","occupation","journalists","firm","RTE","stay in 'mandatory meeting'; reject productivity guidelines","Ireland","Dublin","worker rights",NA,NA,14,0,0,0,"N",0,0,0,678827,"Irish Independent","05/03/1982",NA,"05/03/1982","TBD"
"888",1982-03-06,"Sat","occupation","journalists","firm","RTE","stay in 'mandatory meeting'; reject productivity guidelines","Ireland","Dublin","worker rights",NA,NA,14,0,0,0,"N",0,0,0,678827,"Irish Independent","11/03/1982",NA,"06/03/1982","TBD"
"889",1982-03-07,"Sun","occupation","journalists","firm","RTE","stay in 'mandatory meeting'; reject productivity guidelines","Ireland","Dublin","worker rights",NA,NA,14,0,0,0,"N",0,0,0,678827,"Irish Independent","11/03/1982",NA,"07/03/1982","TBD"
"890",1982-03-08,"Mon","occupation","journalists","firm","RTE","stay in 'mandatory meeting'; reject productivity guidelines","Ireland","Dublin","worker rights",NA,NA,14,0,0,0,"N",0,0,0,678827,"Irish Independent","11/03/1982",NA,"08/03/1982","TBD"
"891",1982-03-09,"Tue","occupation","journalists","firm","RTE","stay in 'mandatory meeting'; reject productivity guidelines","Ireland","Dublin","worker rights",NA,NA,14,0,0,0,"N",0,0,0,678827,"Irish Independent","11/03/1982",NA,"09/03/1982","TBD"
"892",1982-03-10,"Wed","occupation","journalists","firm","RTE","stay in 'mandatory meeting'; reject productivity guidelines","Ireland","Dublin","worker rights",NA,NA,14,0,0,0,"N",0,0,0,678827,"Irish Independent","11/03/1982",NA,"10/03/1982","TBD"
"893",1982-03-11,"Thu","demonstration","sugar beet farmers","government",NA,"demand higher prices","Ireland","Mallow","farm prices",NA,NA,101,0,0,0,"N",0,0,0,153000,"Irish Independent","12/03/1982",NA,"11/03/1982","TBD"
"894",1982-03-12,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","12/03/1982","TBD"
"895",1982-03-13,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","13/03/1982","TBD"
"896",1982-03-14,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","14/03/1982","TBD"
"897",1982-03-15,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","15/03/1982","TBD"
"898",1982-03-16,"Tue","obstruction","paper workers","firm","Clonkaldin","laid-off workers block paper shipments","Ireland","Clonkaldin","unemployment",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","19/03/1982",NA,"16/03/1982","TBD"
"899",1982-03-17,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","17/03/1982","TBD"
"900",1982-03-18,"Thu","demonstration","seamen","firm","McKenna","picket shops for union representation","Ireland","Dublin","worker rights",NA,NA,101,0,0,0,"N",0,0,0,678827,"Irish Independent","19/03/1982",NA,"18/03/1982","TBD"
"901",1982-03-18,"Thu","obstruction","paper workers","firm","Clonkaldin","laid-off workers block paper shipments","Ireland","Clonkaldin","unemployment",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","19/03/1982",NA,"18/03/1982","TBD"
"902",1982-03-19,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","19/03/1982","TBD"
"903",1982-03-20,"Sat","strike","oil workers","firm","Texaco","refuse to work overtime against firm's non-implement of productivity agreement","Ireland","Dublin","worker rights",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","23/03/1982",NA,"20/03/1982","TBD"
"904",1982-03-21,"Sun","strike","oil workers","firm","Texaco","refuse to work overtime against firm's non-implement of productivity agreement","Ireland","Dublin","worker rights",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","23/03/1982",NA,"21/03/1982","TBD"
"905",1982-03-22,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","22/03/1982","TBD"
"906",1982-03-23,"Tue","strike","gas workers","firm","Cork Gas","unofficial strike against consultation agreement","Ireland","Cork","worker rights",NA,NA,301,0,0,0,"N",0,0,0,678827,"Lloyd's List","24/03/1982",NA,"23/03/1982","TBD"
"907",1982-03-24,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","24/03/1982","TBD"
"908",1982-03-25,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","25/03/1982","TBD"
"909",1982-03-26,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","26/03/1982","TBD"
"910",1982-03-27,"Sat","strike","grocery workers","firm",NA,"strike for higher pay","Ireland","Ireland","wages",NA,NA,3001,0,0,0,"N",0,0,0,678827,"Irish Independent","27/03/1982",NA,"27/03/1982","TBD"
"911",1982-03-28,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","28/03/1982","TBD"
"912",1982-03-29,"Mon","strike","grocery workers","firm",NA,"strike for higher pay","Ireland","Ireland","wages",NA,NA,3001,0,0,0,"N",0,0,0,678827,"Irish Independent","29/03/1982",NA,"29/03/1982","TBD"
"913",1982-03-29,"Mon","strike","transport workers","government",NA,"strike for higher pay","Ireland","Dublin","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Times","30/03/1982",NA,"29/03/1982","TBD"
"914",1982-03-29,"Mon","strike","oil workers","firm","Tenneco","strike for higher pay","Ireland","Dublin","wages",NA,NA,100,0,0,0,"N",0,0,0,678827,"Irish Independent","30/03/1982",NA,"29/03/1982","TBD"
"915",1982-03-30,"Tue","strike","transport workers","government",NA,"strike for higher pay","Ireland","Dublin","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Times","30/03/1982",NA,"30/03/1982","TBD"
"916",1982-03-30,"Tue","strike","oil workers","firm","Tenneco","strike for higher pay","Ireland","Dublin","wages",NA,NA,100,0,0,0,"N",0,0,0,678827,"Irish Independent","30/03/1982",NA,"30/03/1982","TBD"
"917",1982-03-30,"Tue","strike","grocery workers","firm",NA,"strike for higher pay","Ireland","Ireland","wages",NA,NA,3001,0,0,0,"N",0,0,0,678827,"Irish Independent","31/03/1982",NA,"30/03/1982","TBD"
"918",1982-03-30,"Tue","strike","clerical workers","firm","PMPA Insurance","strike for higher pay","Ireland","Ireland","wages",NA,NA,1000,0,0,0,"N",0,0,0,678827,"Irish Independent","31/03/1982",NA,"30/03/1982","TBD"
"919",1982-03-31,"Wed","strike","transport workers","government",NA,"strike for higher pay","Ireland","Dublin","wages",NA,NA,301,0,0,0,"N",0,0,0,678827,"Irish Independent","31/03/1982",NA,"31/03/1982","TBD"
"920",1982-03-31,"Wed","strike","grocery workers","firm",NA,"strike for higher pay","Ireland","Ireland","wages",NA,NA,3001,0,0,0,"N",0,0,0,678827,"Irish Independent","31/03/1982",NA,"31/03/1982","TBD"
"921",1982-03-31,"Wed","strike","clerical workers","firm","PMPA Insurance","strike for higher pay","Ireland","Ireland","wages",NA,NA,1000,0,0,0,"N",0,0,0,678827,"Irish Independent","31/03/1982",NA,"31/03/1982","TBD"
"922",1982-03-31,"Wed","petition","shareholders","firm","Cannock & Co.","demand a shareholders' meeting","Ireland","Dublin","shareholder rights",NA,NA,301,0,0,0,"N",0,0,0,30001,"Irish Times","04/06/1982",NA,"31/03/1982","TBD"
"923",1982-04-01,"Thu","strike","clerical workers","firm","PMPA Insurance","strike for higher pay","Ireland","Ireland","wages",NA,NA,1000,0,0,0,"N",0,0,0,678827,"Irish Independent","01/04/1982",NA,"01/04/1982","TBD"
"924",1982-04-01,"Thu","strike","grocery workers","firm",NA,"strike for higher pay","Ireland","Ireland","wages",NA,NA,3001,0,0,0,"N",0,0,0,678827,"Irish Times","01/04/1982",NA,"01/04/1982","TBD"
"925",1982-04-02,"Fri","strike","grocery workers","firm",NA,"strike for higher pay","Ireland","Ireland","wages",NA,NA,3001,0,0,0,"N",0,0,0,678827,"Irish Times","02/04/1982",NA,"02/04/1982","TBD"
"926",1982-04-02,"Fri","strike","clerical workers","firm","PMPA Insurance","strike for higher pay","Ireland","Ireland","wages",NA,NA,1000,0,0,0,"N",0,0,0,678827,"Irish Times","05/04/1982",NA,"02/04/1982","TBD"
"927",1982-04-03,"Sat","strike","grocery workers","firm",NA,"strike for higher pay","Ireland","Ireland","wages",NA,NA,3001,0,0,0,"N",0,0,0,678827,"Irish Independent","03/04/1982",NA,"03/04/1982","TBD"
"928",1982-04-03,"Sat","strike","clerical workers","firm","PMPA Insurance","strike for higher pay","Ireland","Ireland","wages",NA,NA,1000,0,0,0,"N",0,0,0,678827,"Irish Times","05/04/1982",NA,"03/04/1982","TBD"
"929",1982-04-04,"Sun","strike","grocery workers","firm",NA,"strike for higher pay","Ireland","Ireland","wages",NA,NA,3001,0,0,0,"N",0,0,0,678827,"Irish Independent","08/04/1982",NA,"04/04/1982","TBD"
"930",1982-04-04,"Sun","strike","clerical workers","firm","PMPA Insurance","strike for higher pay","Ireland","Ireland","wages",NA,NA,1000,0,0,0,"N",0,0,0,678827,"Irish Times","05/04/1982",NA,"04/04/1982","TBD"
"931",1982-04-05,"Mon","strike","grocery workers","firm",NA,"strike for higher pay","Ireland","Ireland","wages",NA,NA,3001,0,0,0,"N",0,0,0,678827,"Irish Independent","08/04/1982",NA,"05/04/1982","TBD"
"932",1982-04-05,"Mon","strike","clerical workers","firm","PMPA Insurance","strike for higher pay","Ireland","Ireland","wages",NA,NA,1000,0,0,0,"N",0,0,0,678827,"Irish Times","05/04/1982",NA,"05/04/1982","TBD"
"933",1982-04-06,"Tue","strike","grocery workers","firm",NA,"strike for higher pay","Ireland","Ireland","wages",NA,NA,3001,0,0,0,"N",0,0,0,678827,"Irish Independent","08/04/1982",NA,"06/04/1982","TBD"
"934",1982-04-07,"Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","07/04/1982","TBD"
"935",1982-04-08,"Thu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","08/04/1982","TBD"
"936",1982-04-09,"Fri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","09/04/1982","TBD"
"937",1982-04-10,"Sat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","10/04/1982","TBD"
"938",1982-04-11,"Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","11/04/1982","TBD"
"939",1982-04-12,"Mon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","12/04/1982","TBD"
"940",1982-04-13,"Tue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no event","13/04/1982","TBD"
